GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,AttributeManager,12,23,0,2,3,5,2,4,2,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,SubGraphImpl,30,55,1,1,4,14,2,7,1,7
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,BackwardLinkFinder,0,28,0,2,0,7,0,3,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,NodeImpl,33,106,3,9,5,30,5,19,2,16
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,GraphImpl.NodeIterator,0,31,0,0,0,9,0,4,0,4
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,GraphImpl,104,140,8,10,16,40,12,14,6,11
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,ConnectedNodesFinder,0,43,0,4,0,9,0,4,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,ForwardLinkFinder,0,28,0,2,0,7,0,3,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,GraphCrawler,0,46,0,4,0,14,0,4,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,SimpleGraphElementFactory,22,0,0,0,5,0,3,0,3,0
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,LinkImpl,35,21,2,0,5,8,5,3,4,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,GraphImpl.new SubGraphImpl.NodeIteratorFactory() {...},0,14,0,0,0,2,0,2,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.graph,SubGraphImpl.new SubGraphImpl.NodeIteratorFactory() {...},5,0,0,0,2,0,2,0,2,0
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,NodeRemoverFilterType,27,6,2,0,8,3,4,1,3,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,PrefixedFilterType,17,0,0,0,7,0,4,0,4,0
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,ToNodeFilterType,26,6,2,0,8,3,4,1,3,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,FromNodeFilterType,26,6,2,0,8,3,4,1,3,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,GraphFilterFactory,78,93,0,2,19,22,0,4,0,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,MissingNodeFilterType,11,6,0,0,4,3,3,1,3,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,ConnectedFilterType,26,6,2,0,8,3,4,1,3,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,FilterType,0,69,1,5,0,23,1,10,0,8
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,IsolatedNodeFilterType,0,17,0,0,0,7,0,4,0,4
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.tasks,GrandTask,37,491,3,45,12,120,4,37,1,16
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand,Configuration,47,129,4,6,16,28,8,6,5,4
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.output,DotWriterVisitor,15,175,4,16,1,43,4,9,0,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.output,DotWriter,5,169,1,9,3,39,2,10,1,6
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.output,DotWriterVisitor.NodeLinksVisitor,27,152,4,16,5,34,5,12,1,6
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.output,DotWriter.Output,2,44,1,1,1,15,1,7,0,7
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,ToNodeFilter,0,12,0,0,0,4,0,2,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,MissingNodeFilter,0,31,0,4,0,9,0,4,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,PrefixedNodeFilter,0,31,0,4,0,9,0,4,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,NodeRemoverFilter,10,47,1,5,1,14,1,5,0,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,ConnectedToNodeFilter,0,12,0,0,0,4,0,2,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,FilterChain,16,93,2,6,4,31,4,9,2,7
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,GraphWalkFilter,0,42,0,2,0,9,0,3,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,FromNodeFilter,0,12,0,0,0,4,0,2,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,AbstractGraphFilter,6,68,2,8,2,24,4,9,2,6
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.filters,IsolatedNodeFilter,0,35,0,6,0,9,0,5,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.log,LoggerManager,17,11,3,1,6,3,4,2,2,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.log,LoggerManager.new LoggerFactory() {...},4,7,0,0,1,2,1,2,1,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.log,AntLog,11,37,3,5,3,15,3,5,0,4
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.log,SimpleLog,37,111,0,4,14,26,9,15,9,13
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.exceptions,NonExistentNodeException,12,4,0,0,6,2,3,1,3,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.exceptions,GrandException,7,9,0,0,4,4,2,2,2,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.exceptions,DuplicateElementException,16,0,0,0,8,0,4,0,4,0
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntProject.GetterConditionHelper,0,22,0,0,0,7,0,3,0,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,TargetTasksExplorer,0,421,0,52,0,96,0,32,0,6
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntGraphElementFactory,0,42,0,0,0,7,0,5,0,5
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,ReflectTaskVisitorBase,59,88,4,6,12,22,3,6,1,3
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntProject.TargetConditionHelperFactory,26,15,2,2,10,6,2,1,0,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntLink,0,11,0,0,0,4,0,2,0,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,LinkFinderVisitor,110,815,20,66,21,182,14,43,0,14
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntTaskLink,21,40,0,0,5,11,4,4,4,4
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntProject.NullConditionHelper,4,0,0,0,2,0,2,0,2,0
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntProject,32,385,8,30,7,90,7,20,0,8
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,SubantTaskLink,8,19,0,0,3,5,2,2,2,2
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntTargetNode,3,34,0,0,1,15,1,9,1,9
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntProject.ReflectHelper,73,0,8,0,21,0,7,0,3,0
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntGraph,3,55,0,2,1,15,1,6,1,5
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant,AntTargetNode.SourceElement,4,19,0,0,2,8,1,4,1,4
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant.taskhelpers,TaskDefHelper,1,9,0,0,1,3,1,1,1,1
Grand: Graphical Representation of ANt Dependencies,net.ggtools.grand.ant.taskhelpers,SubAntHelper,172,139,0,2,51,48,29,22,29,21
